 ,投稿日時,テキスト,URL,imp,リプライ数,RT数,いいね数,引用数,投稿アプリ,@,名前,自己紹介,フォロー数,フォロワー数,ツイート数,アカウント作成日,
,2025/12/16 16:26,「辞めようかなぁ…」って思うくらいなら、一回、辞めちゃったらいい✋これは突き放しじゃなくて現実的な話で、中途半端に「やらなきゃ…」「でもしんどい…」って状態が一番消耗すると思うんだよねえ。辞めたら、また戻ってきてもいいと思うし一回距離置いて、それでも気になるなら、その時は本気でやる。続けるか、辞めるかダラダラ悩み続ける方のが一番コスト高い🥹,https://twitter.com/miimo_writing/status/2000829981077930465,2160,3,0,33,2,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/15 15:38,これ、理解してもらえるかわからんけど、在宅で仕事したいって思った1番の理由が、「娘と一緒に宿題したいから」なんだよねえ。昔、本読みの宿題やってたら、親に「もうこれから読んだことにして代わりに丸つけといて。（うるさいから）」って言われたのがショックすぎたんだよなあ🥹,https://twitter.com/miimo_writing/status/2000455354929291728,1088,1,0,29,1,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/13 18:48,なんかもう一周まわってクライアントワーク最強説きた🥹💰,https://twitter.com/miimo_writing/status/1999778389037822189,12028,5,0,45,4,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/12 16:23,まだ1ヶ月たってない生まれたばっかのホヤホヤ赤ちゃんの顔見て「復帰したくない…😭この子の成長1ミリも見逃したくない…」6年前はそう思ってたけど、結局イヤイヤ復帰したんだよなあ😭シンプルに復帰しない道も選べるって知らなかった自分が情弱すぎた。ここだけの話、コンテンツ販売ひととおりできるようになったら、家でできる仕事なんかいくらでも取れるし溢れかえるよ…🥰出勤せずに家で働きたい時に働いて休みたい時に休む方法このルートが最強ってやつ最近さらに極めてる笑固定ポストのやつで情報流すから、チェックしといてください！特に育休から復帰したくないキミ！！🫵,https://twitter.com/miimo_writing/status/1999379552133611807,727,0,0,37,0,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/12 13:23,発信する前にこれやっててよかった😭ってことナンバーワンは、1人のノウハウをその人の思考レベルまで吸い尽くせたことでした。シンプルにその人の教材ぜんぶ手に入れたら、簡単に吸い取れるんだけどね。Aさんの教材Bさんの講座Cさんのサブスクつまみ食いする人多すぎるってまじで。最初は1人でいいねんて。つまみ食いは軌道に乗ってからで十分。,https://twitter.com/miimo_writing/status/1999334231286374757,672,2,0,25,0,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/10 18:52,めっちゃ敵作りそうなこというと、例えば、note販売とかSNS運用だけに特化しちゃうと、それ「しか」できないよね。これ1本で食っていく！って息巻いてる人たちはこわくないんかな。私は1本全フリとかこわすぎるし、ひととおり自分でなんでもできるようになっておきたいからライティング学んだし、コンテンツも売ってるし、コンサルもしてるし、noteもやってプロフィールにある実績作ってきたわけだけどそもそも売上はほしいけど、「自分でなんでもできるようになりたい」って欲求がある変人、少ないよね😐,https://twitter.com/miimo_writing/status/1998692270418309574,1584,3,0,42,1,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/08 20:20,"今年の2月に出したコンテンツがきっかけで、その月は300万以上稼げました。でも、元をたどるときっかけはたった1つの4,980円のコンテンツを買ったところから始まっていたと思います。34歳のおばちんも、元をたどると0歳から始まっています。今売上0でも大丈夫。発信1年目なんて赤ちゃんみたいなもんなんだから、吸収に徹すればいいのです！頑張りたい人は今年中に月1万円目指せばおけです！1万でも稼げたら、1年目ですんごい結果だしてることになります😊え？今年あと30日もないって？いつのまに…？🥹",https://twitter.com/miimo_writing/status/1997989742974214516,719,1,0,28,0,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/08 04:37,まーた風邪引いたぽい🤧いつからこんな病弱なったんや,https://twitter.com/miimo_writing/status/1997752453673173137,351,3,0,14,0,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/07 12:26,持ってるノウハウ強力なのに、見せ方もったいない人多いなぁ🥹ぜんぜん関係ないモノを同じ土俵で戦わせるだけでいいのに。例えば、うちの娘がよくやるんだけど「ママ〜、チョコと娘ちゃんどっちが好き？」とかね。「え？食いもんと君を比べろっての？」ってなるやつ😂（この場合本人はシンプルに好きなモノ同士を比べてるつもりだろうけど笑）つまり、Aという手法を推したいなら、Aをアゲるために、ぜんぜん関係ない場所からザコいBという手法を引っ張ってきて発信で八百長試合させるべきってこと。これが仮想敵の考え方の1つ。あれ？いいすぎた？😇,https://twitter.com/miimo_writing/status/1997507899921490006,1947,1,0,33,3,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/06 12:05,【1つ前のポスト読んだフォロワーさん限定！】作業会やるなら…？,https://twitter.com/miimo_writing/status/1997140223504072954,1652,1,0,10,1,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/26 00:22,クリスマスも年末年始も家族と過ごすことすら難しい仕事してたけど　　今はみんなが休みの時に一緒に家にいられるのがほんと幸せ😭サンタさんも、うちだけ12月22日とか26日にきてたからね笑,https://twitter.com/miimo_writing/status/2004211101974909376,408,1,0,21,0,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
